n,event type,t,r,theta,phi,pr,ptheta,pphi,beta,E,dE,
26,ptheta = 0,6.9109,1.0120,10.5173,46.6140,0.3745,0.0000,0.0600,30.7934,-0.1846,-1.96e-7,
27,pphi = 0,7.2989,1.1067,11.2777,53.1523,0.1302,0.0786,0.0000,36.1806,-0.1846,-1.36e-7,
28,pr = 0,7.5529,1.1232,12.4561,50.6222,0.0000,0.1222,-0.0338,31.8636,-0.1846,-3.20e-8,
29,collision,8.1989,1.0000,17.3978,26.7989,-0.4238,0.1652,-0.0823,0.4970,-0.1846,1.93e-13,
30,beta = 0,8.2101,1.0034,17.4738,26.4187,0.4163,0.1646,-0.0823,0.0000,-0.1846,-3.76e-8,
31,pr = 0,8.8481,1.1233,21.2459,2.2140,0.0000,0.0574,-0.0385,-30.0328,-0.1846,-1.70e-7,
32,phi = 0,8.9721,1.1194,21.4869,0.0000,-0.0628,0.0283,-0.0241,-32.6217,-0.1846,-2.23e-7,
33,ptheta = 0,9.0861,1.1090,21.5614,-1.1064,-0.1210,0.0000,-0.0098,-33.8441,-0.1846,-1.12e-7,
34,pphi = 0,9.1601,1.0984,21.5272,-1.3183,-0.1606,-0.0194,0.0000,-34.0028,-0.1846,-2.33e-7,
35,phi = 0,9.3441,1.0594,21.1253,-0.0000,-0.2673,-0.0697,0.0253,-32.0594,-0.1846,-2.26e-7,
36,collision,9.5221,1.0000,20.1918,3.9388,-0.3978,-0.1220,0.0510,-26.6723,-0.1846,1.44e-13,
37,beta = 0,10.0091,1.1075,16.0291,24.2035,0.0630,-0.2020,0.0837,0.0000,-0.1846,-3.91e-8,
38,pr = 0,10.1111,1.1107,15.0490,29.1302,0.0000,-0.2050,0.0823,6.4247,-0.1846,-2.83e-7,
39,collision,10.7071,1.0000,9.6785,49.3749,-0.3875,-0.1340,0.0202,34.8223,-0.1846,1.68e-13,
40,pphi = 0,10.8194,1.0384,8.9417,50.0106,0.3065,-0.1069,0.0000,36.5706,-0.1846,-2.82e-7,
41,pr = 0,11.3474,1.1173,7.5915,37.7075,0.0000,-0.0054,-0.0751,26.3035,-0.1846,-2.17e-7,
42,ptheta = 0,11.3894,1.1168,7.5864,35.8840,-0.0237,0.0000,-0.0793,24.4877,-0.1846,-2.61e-7,
43,beta = 0,11.8294,1.0445,7.9777,11.9859,-0.3231,0.0250,-0.1032,0.0000,-0.1846,-2.61e-7,
44,collision,11.9454,1.0000,8.1201,5.0254,-0.4302,0.0176,-0.1009,-7.1752,-0.1846,2.49e-13,
45,phi = 0,12.0364,1.0345,8.1835,0.0000,0.3492,0.0076,-0.0962,-12.2962,-0.1846,-2.57e-7,
46,ptheta = 0,12.0924,1.0529,8.1950,-3.0388,0.3036,0.0000,-0.0923,-15.3523,-0.1846,-2.57e-7,
47,pr = 0,12.5904,1.1233,7.2007,-22.4016,0.0000,-0.0917,-0.0391,-33.2168,-0.1846,-1.76e-7,
48,pphi = 0,12.8804,1.1015,5.5511,-25.6958,-0.1508,-0.1553,0.0000,-34.0289,-0.1846,-5.69e-9,
49,collision,13.2604,1.0000,1.6770,-19.9412,-0.4033,-0.2382,0.0522,-22.4569,-0.1846,1.43e-13,
50,theta = 0,13.3846,1.0434,0.0000,-15.7803,0.3041,-0.2576,0.0648,-15.7803,-0.1846,-3.83e-7,
51,beta = 0,13.6446,1.0986,-3.4360,-5.1556,0.1270,-0.2709,0.0747,-0.0000,-0.1846,-2.38e-7,
52,phi = 0,13.7646,1.1095,-4.9708,0.0000,0.0524,-0.2663,0.0728,7.4609,-0.1846,-3.68e-8,
53,pr = 0,13.8546,1.1118,-6.0489,3.5958,0.0000,-0.2592,0.0690,12.6777,-0.1846,-1.35e-7,
54,pphi = 0,14.4386,1.0104,-12.0300,17.2537,-0.3610,-0.1382,-0.0000,35.3656,-0.1846,-2.56e-7,
55,collision,14.4646,1.0000,-12.2426,17.2117,-0.3825,-0.1290,-0.0053,35.6462,-0.1846,1.30e-13,
56,ptheta = 0,14.9572,1.1075,-13.7597,4.5903,0.0702,0.0000,-0.0773,25.3306,-0.1846,-3.10e-7,
57,phi = 0,15.0552,1.1116,-13.7185,-0.0000,0.0123,0.0178,-0.0864,20.6774,-0.1846,-2.41e-7,
58,pr = 0,15.0752,1.1117,-13.7000,-1.0246,0.0000,0.0211,-0.0881,19.6247,-0.1846,-3.16e-7,
59,beta = 0,15.4092,1.0764,-13.0316,-19.6327,-0.2184,0.0567,-0.1022,-0.0000,-0.1846,-2.84e-7,
60,collision,15.6492,1.0000,-12.2911,-33.4514,-0.4185,0.0537,-0.0926,-14.9432,-0.1846,1.80e-13,
61,ptheta = 0,16.0591,1.1067,-11.6567,-50.0483,0.1315,0.0000,-0.0467,-32.5024,-0.1846,-2.32e-7,
62,pr = 0,16.3131,1.1231,-11.9110,-54.3894,0.0000,-0.0444,-0.0125,-36.4578,-0.1846,-1.73e-7,
63,pphi = 0,16.4051,1.1211,-12.1272,-54.7137,-0.0449,-0.0607,0.0000,-36.4542,-0.1846,-1.97e-8,
64,collision,16.9831,1.0000,-15.3253,-41.7470,-0.4085,-0.1509,0.0749,-18.6195,-0.1846,1.29e-13,
65,beta = 0,17.2901,1.0872,-17.8157,-26.9442,0.1749,-0.1550,0.0895,-0.0000,-0.1846,-3.19e-7,
66,pr = 0,17.5701,1.1112,-19.6868,-13.1120,-0.0000,-0.1236,0.0797,16.7176,-0.1846,-3.06e-7,
67,phi = 0,17.9321,1.0731,-21.1841,0.0000,-0.2112,-0.0449,0.0426,32.1508,-0.1846,-3.18e-7,
68,ptheta = 0,18.0841,1.0340,-21.3616,2.7387,-0.3075,0.0000,0.0199,35.1655,-0.1846,-5.17e-8,
69,collision,18.1801,1.0000,-21.2693,3.3868,-0.3790,0.0338,0.0026,35.6701,-0.1846,8.64e-14,
70,pphi = 0,18.1955,1.0052,-21.2404,3.3970,0.3684,0.0388,0.0000,35.6354,-0.1846,-3.64e-8,
71,phi = 0,18.4655,1.0797,-20.0995,0.0000,0.1917,0.1204,-0.0416,30.4681,-0.1846,-2.44e-7,
72,pr = 0,18.7975,1.1114,-17.6433,-11.2669,0.0000,0.1877,-0.0734,15.4122,-0.1846,-3.04e-7,
73,beta = 0,19.0555,1.0915,-15.1891,-22.9195,-0.1578,0.2137,-0.0817,-0.0000,-0.1846,-3.02e-7,
74,collision,19.3855,1.0000,-11.5206,-37.4205,-0.4055,0.2034,-0.0645,-20.0807,-0.1846,1.19e-13,
75,pphi = 0,19.8763,1.1145,-7.4565,-46.7075,0.0926,0.1203,0.0000,-35.5070,-0.1846,-2.69e-8,
76,pr = 0,20.0583,1.1230,-6.5954,-45.3766,0.0000,0.0855,0.0253,-35.4725,-0.1846,-2.08e-7,
77,ptheta = 0,20.5743,1.0497,-5.6362,-28.2016,-0.3066,0.0000,0.0879,-19.7405,-0.1846,-2.14e-7,
78,collision,20.7083,1.0000,-5.6946,-20.8324,-0.4249,-0.0145,0.0995,-12.2834,-0.1846,2.06e-13,
79,beta = 0,20.9119,1.0674,-5.8973,-8.8538,0.2523,-0.0200,0.1062,-0.0000,-0.1846,-3.64e-7,
80,phi = 0,21.0579,1.0965,-6.0193,0.0000,0.1465,-0.0125,0.1032,9.0372,-0.1846,-2.07e-8,
81,ptheta = 0,21.1839,1.1096,-6.0585,7.1421,0.0650,0.0000,0.0964,16.2383,-0.1846,-2.39e-7,
82,pr = 0,21.2899,1.1130,-6.0246,12.7394,0.0000,0.0144,0.0881,21.7846,-0.1846,-8.84e-8,
83,collision,21.8999,1.0000,-3.5907,30.1780,-0.3847,0.1555,0.0005,35.5657,-0.1846,1.30e-13,
84,pphi = 0,21.9057,1.0010,-3.5664,30.1783,0.3826,0.1563,0.0000,35.5296,-0.1846,-3.10e-7,
85,theta = 0,22.2517,1.0920,0.0000,24.5870,0.1528,0.2355,-0.0514,24.5870,-0.1846,-3.11e-7,
86,pr = 0,22.5117,1.1118,3.0652,15.2854,-0.0000,0.2639,-0.0711,10.6865,-0.1846,-2.87e-7,
87,beta = 0,22.6877,1.1026,5.2463,7.8750,-0.1060,0.2676,-0.0751,0.0000,-0.1846,-3.58e-8,
88,phi = 0,22.8737,1.0716,7.6257,0.0000,-0.2275,0.2562,-0.0702,-11.4555,-0.1846,-3.58e-7,
89,collision,23.1017,1.0000,10.5396,-8.0612,-0.4017,0.2167,-0.0491,-23.9156,-0.1846,1.15e-13,
90,pphi = 0,23.4587,1.0975,13.7201,-13.0757,0.1654,0.1283,0.0000,-33.7555,-0.1846,-2.41e-7,
91,pr = 0,23.7767,1.1236,15.0475,-9.2276,0.0000,0.0534,0.0414,-31.9308,-0.1846,-2.35e-7,
92,ptheta = 0,24.0307,1.1063,15.3495,-1.0916,-0.1389,0.0000,0.0695,-24.2560,-0.1846,-2.44e-7,
93,phi = 0,24.0567,1.1024,15.3462,0.0000,-0.1551,-0.0052,0.0721,-23.1594,-0.1846,-4.76e-9,
94,collision,24.4187,1.0000,14.6675,17.9474,-0.4290,-0.0605,0.0958,-4.1760,-0.1846,1.95e-13,
95,beta = 0,24.4907,1.0274,14.4240,21.7521,0.3657,-0.0658,0.0966,0.0000,-0.1846,-3.25e-7,
96,pr = 0,25.0407,1.1201,12.8334,48.2144,0.0000,-0.0357,0.0611,28.8828,-0.1846,-2.01e-7,
97,ptheta = 0,25.2667,1.1065,12.6412,54.3221,-0.1201,0.0000,0.0327,35.2825,-0.1846,-1.14e-7,
98,pphi = 0,25.4827,1.0676,12.8596,56.4032,-0.2415,0.0423,0.0000,37.0318,-0.1846,-2.64e-7,
99,collision,25.6967,1.0000,13.6257,54.1411,-0.3904,0.0899,-0.0372,33.6048,-0.1846,1.25e-13,
100,pr = 0,26.2841,1.1094,17.3743,29.8559,0.0000,0.1446,-0.0919,3.5901,-0.1846,-3.14e-7,
101,beta = 0,26.3401,1.1084,17.7546,26.8502,-0.0354,0.1421,-0.0923,0.0000,-0.1846,-1.96e-7,
102,collision,26.8621,1.0000,20.5308,2.8723,-0.3967,0.0511,-0.0550,-28.2642,-0.1846,1.04e-13,
103,phi = 0,26.9702,1.0379,20.7366,0.0000,0.3152,0.0187,-0.0390,-31.4558,-0.1846,-2.12e-7,
104,ptheta = 0,27.0342,1.0567,20.7680,-1.2601,0.2723,0.0000,-0.0296,-32.7647,-0.1846,-2.33e-7,
105,pphi = 0,27.2462,1.1009,20.4660,-3.0277,0.1496,-0.0580,0.0000,-34.0639,-0.1846,-1.85e-7,
106,phi = 0,27.5342,1.1225,19.2195,0.0000,0.0004,-0.1276,0.0354,-29.1074,-0.1846,-5.96e-8,
107,pr = 0,27.5362,1.1225,19.2155,0.0141,0.0000,-0.1277,0.0355,-29.0871,-0.1846,-1.92e-7,
108,beta = 0,28.1382,1.0176,13.8726,20.9120,-0.3824,-0.2203,0.0752,0.0000,-0.1846,-1.36e-8,
109,collision,28.1782,1.0000,13.3272,22.7940,-0.4216,-0.2223,0.0748,2.7119,-0.1846,1.25e-13,
110,pr = 0,28.8359,1.1240,6.8128,42.7725,0.0000,-0.1606,0.0200,32.5412,-0.1846,-1.83e-7,
111,pphi = 0,28.9899,1.1180,5.7904,43.6619,-0.0773,-0.1329,0.0000,34.9689,-0.1846,-1.29e-7,
112,collision,29.5079,1.0000,3.7635,32.4519,-0.4071,-0.0250,-0.0764,26.8047,-0.1846,1.57e-13,
113,ptheta = 0,29.6571,1.0507,3.6695,25.2022,0.2859,0.0000,-0.0945,19.6961,-0.1846,-4.26e-7,
114,beta = 0,29.9811,1.1053,3.8755,5.8154,0.0568,0.0187,-0.1096,0.0000,-0.1846,-2.23e-7,
115,pr = 0,30.0651,1.1077,3.9460,0.4602,0.0000,0.0161,-0.1086,-5.4612,-0.1846,-6.61e-8,
116,phi = 0,30.0731,1.1077,3.9515,0.0000,-0.0049,0.0157,-0.1084,-5.9296,-0.1846,-3.35e-7,
117,ptheta = 0,30.2551,1.0960,4.0276,-10.8556,-0.1240,0.0000,-0.0995,-16.8994,-0.1846,-2.03e-7,
118,collision,30.6291,1.0000,3.3664,-27.9663,-0.3951,-0.0759,-0.0521,-33.0174,-0.1846,1.37e-13,
119,pphi = 0,30.9487,1.0896,1.4411,-32.5346,0.1836,-0.1566,-0.0000,-34.6964,-0.1846,-2.59e-7,
120,theta = 0,31.1227,1.1133,0.0000,-31.3117,0.0888,-0.1927,0.0238,-31.3117,-0.1846,-6.14e-8,
121,pr = 0,31.2907,1.1207,-1.5917,-28.0758,0.0000,-0.2211,0.0430,-25.6881,-0.1846,-2.19e-7,
122,beta = 0,31.7787,1.0513,-7.3075,-10.9761,-0.3020,-0.2562,0.0710,-0.0000,-0.1846,-1.23e-7,
123,collision,31.9207,1.0000,-9.2636,-5.2615,-0.4206,-0.2464,0.0676,8.6644,-0.1846,1.18e-13,
124,phi = 0,32.0671,1.0522,-11.1344,0.0000,0.3022,-0.2259,0.0579,16.7546,-0.1846,-1.98e-7,
125,pr = 0,32.5971,1.1272,-15.5377,9.4256,0.0000,-0.1182,0.0006,32.8777,-0.1846,-3.92e-8,
126,pphi = 0,32.6031,1.1272,-15.5637,9.4264,-0.0024,-0.1171,0.0000,32.9181,-0.1846,-2.12e-7,
127,ptheta = 0,33.1011,1.0608,-16.9177,0.5286,-0.2788,0.0000,-0.0619,26.0937,-0.1846,-6.37e-8,
128,phi = 0,33.1171,1.0566,-16.9164,0.0000,-0.2890,0.0035,-0.0637,25.5631,-0.1846,-1.69e-7,
129,collision,33.2771,1.0000,-16.7186,-6.7466,-0.4178,0.0409,-0.0817,18.5131,-0.1846,1.48e-13,
130,beta = 0,33.5972,1.0919,-15.6283,-23.5905,0.1699,0.0830,-0.0970,-0.0000,-0.1846,-2.75e-7,
131,pr = 0,33.8652,1.1142,-14.5680,-37.9794,0.0000,0.0819,-0.0880,-16.0077,-0.1846,-2.95e-7,
132,ptheta = 0,34.4192,1.0218,-13.2688,-56.7593,-0.3428,0.0000,-0.0195,-36.7659,-0.1846,-3.14e-7,
133,collision,34.4772,1.0000,-13.2932,-57.2342,-0.3876,-0.0147,-0.0081,-37.2037,-0.1846,1.23e-13,
134,pphi = 0,34.5217,1.0156,-13.3405,-57.3314,0.3558,-0.0251,0.0000,-37.2291,-0.1846,-4.48e-8,
135,pr = 0,35.1097,1.1166,-15.6161,-42.3985,0.0000,-0.1190,0.0776,-18.8265,-0.1846,-2.85e-7,
136,beta = 0,35.4337,1.0847,-17.4958,-26.4524,-0.2023,-0.1219,0.0903,-0.0000,-0.1846,-2.88e-7,
137,collision,35.7077,1.0000,-19.0455,-12.7075,-0.4191,-0.0856,0.0787,16.1312,-0.1846,1.32e-13,
138,ptheta = 0,36.0815,1.1036,-19.8980,-0.0352,0.1605,0.0000,0.0386,30.1211,-0.1846,-2.10e-7,
139,phi = 0,36.0835,1.1038,-19.8980,0.0000,0.1596,0.0004,0.0384,30.1563,-0.1846,-2.09e-7,
140,pr = 0,36.3935,1.1282,-19.3717,3.5101,0.0000,0.0741,0.0009,32.8525,-0.1846,-7.31e-8,
141,pphi = 0,36.4015,1.1281,-19.3474,3.5118,-0.0035,0.0757,-0.0000,32.8168,-0.1846,-2.17e-7,
142,phi = 0,36.7235,1.1007,-17.6780,0.0000,-0.1710,0.1490,-0.0374,26.7325,-0.1846,-1.69e-7,
143,collision,37.0735,1.0000,-14.3213,-10.9974,-0.4202,0.2164,-0.0688,10.5981,-0.1846,1.07e-13,
144,beta = 0,37.2533,1.0612,-12.1684,-18.3219,0.2764,0.2331,-0.0738,-0.0000,-0.1846,-3.19e-7,
145,pr = 0,37.7033,1.1203,-7.3086,-35.2025,0.0000,0.2110,-0.0500,-24.2247,-0.1846,-2.24e-7,
146,pphi = 0,38.0993,1.0778,-3.9815,-41.3136,-0.2167,0.1418,0.0000,-35.3390,-0.1846,-2.59e-7,
147,collision,38.3573,1.0000,-2.4730,-38.1295,-0.3931,0.0778,0.0443,-34.4194,-0.1846,1.22e-13,
148,ptheta = 0,38.7678,1.1000,-1.7474,-20.5358,0.1056,0.0000,0.0980,-17.9145,-0.1846,-1.10e-7,
149,pr = 0,38.9318,1.1086,-1.8024,-10.9397,0.0000,-0.0128,0.1071,-8.2359,-0.1846,-1.84e-7,
150,beta = 0,39.0618,1.1030,-1.8919,-2.8381,-0.0864,-0.0155,0.1094,-0.0000,-0.1846,-2.73e-7,
151,phi = 0,39.1058,1.0984,-1.9244,0.0000,-0.1173,-0.0147,0.1091,2.8869,-0.1846,-1.30e-7,
152,ptheta = 0,39.3138,1.0591,-2.0145,12.5059,-0.2660,0.0000,0.1002,15.5280,-0.1846,-1.97e-7,
153,collision,39.4858,1.0000,-1.8873,21.7447,-0.4114,0.0291,0.0816,24.5759,-0.1846,1.39e-13,
154,theta = 0,39.9637,1.1146,0.0000,34.7754,0.1005,0.1318,0.0143,34.7754,-0.1846,-2.34e-7,
155,pphi = 0,40.0697,1.1224,0.6929,35.2088,0.0463,0.1532,0.0000,34.1694,-0.1846,-2.27e-7,
156,pr = 0,40.1617,1.1245,1.3690,34.8925,0.0000,0.1709,-0.0119,32.8390,-0.1846,-2.32e-7,
157,collision,40.8197,1.0000,8.5073,17.1786,-0.4209,0.2495,-0.0711,4.3941,-0.1846,8.86e-14,
158,beta = 0,40.8929,1.0276,9.4905,14.2685,0.3588,0.2481,-0.0720,0.0000,-0.1846,-3.06e-7,
159,phi = 0,41.2729,1.1121,13.8350,0.0000,0.1028,0.2057,-0.0539,-20.8548,-0.1846,-2.35e-7,
160,pr = 0,41.4629,1.1218,15.4767,-4.9074,0.0000,0.1697,-0.0354,-28.2662,-0.1846,-2.42e-7,
161,pphi = 0,41.7509,1.1004,17.2993,-7.9277,-0.1496,0.1032,0.0000,-34.0784,-0.1846,-2.42e-7,
162,ptheta = 0,42.1169,1.0055,18.2685,-2.3739,-0.3845,0.0000,0.0543,-30.0148,-0.1846,-1.35e-7,
163,collision,42.1289,1.0000,18.2668,-1.9309,-0.3961,-0.0043,0.0565,-29.5692,-0.1846,6.78e-14,
164,phi = 0,42.1865,1.0207,18.2275,0.0000,0.3511,-0.0207,0.0647,-27.5778,-0.1846,-2.95e-7,
165,beta = 0,42.6865,1.1083,16.5286,24.9685,0.0117,-0.1009,0.0984,0.0000,-0.1846,-2.76e-7,
166,pr = 0,42.7045,1.1084,16.4418,26.0046,0.0000,-0.1017,0.0984,1.1692,-0.1846,-3.47e-7,
167,collision,43.2765,1.0000,13.8589,53.0066,-0.3940,-0.0557,0.0498,32.1154,-0.1846,7.78e-14,
168,ptheta = 0,43.5439,1.0794,13.4628,57.1799,0.2137,0.0000,0.0058,36.8915,-0.1846,-2.46e-8,
169,pphi = 0,43.5819,1.0870,13.4697,57.2418,0.1924,0.0074,0.0000,36.9430,-0.1846,-2.05e-7,
170,pr = 0,43.9459,1.1217,14.1481,51.8444,0.0000,0.0700,-0.0496,30.5128,-0.1846,-7.29e-8,
171,beta = 0,44.5479,1.0131,16.9976,25.6876,-0.3974,0.1034,-0.0909,0.0000,-0.1846,-3.05e-7,
172,collision,44.5779,1.0000,17.1818,24.0288,-0.4271,0.1009,-0.0907,-1.9415,-0.1846,1.14e-13,
173,phi = 0,45.1349,1.1213,18.8822,0.0000,0.0478,0.0083,-0.0519,-28.5868,-0.1846,-1.43e-7,
174,ptheta = 0,45.1729,1.1228,18.8895,-1.0854,0.0277,0.0000,-0.0477,-29.6834,-0.1846,-1.53e-7,
175,pr = 0,45.2249,1.1235,18.8750,-2.4499,0.0000,-0.0120,-0.0416,-31.0256,-0.1846,-1.18e-7,
176,pphi = 0,45.5529,1.0959,18.0986,-6.4560,-0.1701,-0.0917,0.0000,-33.8355,-0.1846,-2.09e-7,
177,collision,45.8989,1.0000,15.6097,-1.6652,-0.3997,-0.1844,0.0484,-25.2274,-0.1846,4.36e-14,
178,phi = 0,45.9551,1.0210,15.0099,0.0000,0.3541,-0.1985,0.0555,-22.6459,-0.1846,-1.31e-7,
179,beta = 0,46.3491,1.1053,10.5094,15.8087,0.0865,-0.2490,0.0775,0.0000,-0.1846,-1.31e-7,
180,pr = 0,46.4911,1.1114,8.8464,22.0800,0.0000,-0.2494,0.0748,8.7838,-0.1846,-3.12e-7,
181,collision,47.0931,1.0000,2.4003,38.9157,-0.3859,-0.1578,0.0070,35.3147,-0.1846,6.17e-14,
182,pphi = 0,47.1326,1.0137,2.0830,38.9889,0.3577,-0.1477,0.0000,35.8641,-0.1846,-2.79e-7,
183,theta = 0,47.5666,1.1079,0.0000,30.0148,0.0883,-0.0475,-0.0675,30.0148,-0.1846,-2.83e-7,
184,pr = 0,47.7186,1.1147,-0.2426,23.3741,0.0000,-0.0223,-0.0842,23.7379,-0.1846,-2.96e-7,
185,ptheta = 0,47.9046,1.1040,-0.3316,13.5026,-0.1158,0.0000,-0.0990,14.0001,-0.1846,-1.63e-7,
186,phi = 0,48.1326,1.0599,-0.2503,0.0000,-0.2782,0.0113,-0.1064,0.3754,-0.1846,-3.41e-7,
187,beta = 0,48.1386,1.0582,-0.2468,-0.3702,-0.2830,0.0113,-0.1064,-0.0000,-0.1846,-3.53e-7,
188,collision,48.3006,1.0000,-0.1661,-10.2713,-0.4283,0.0046,-0.1018,-10.0221,-0.1846,1.43e-13,
189,ptheta = 0,48.3522,1.0196,-0.1596,-13.0507,0.3828,0.0000,-0.0987,-12.8112,-0.1846,-1.43e-7,
190,pr = 0,48.9502,1.1230,-1.4023,-36.6410,0.0000,-0.0978,-0.0329,-34.5374,-0.1846,-1.51e-7,
191,pphi = 0,49.1902,1.1083,-2.7426,-38.9197,-0.1229,-0.1460,0.0000,-34.8050,-0.1846,-1.29e-7,
192,collision,49.6182,1.0000,-6.8797,-31.5934,-0.4042,-0.2269,0.0581,-21.2614,-0.1846,3.13e-14,
193,beta = 0,49.9750,1.0949,-11.3047,-17.0126,0.1431,-0.2450,0.0779,-0.0000,-0.1846,-1.63e-7,
194,pr = 0,50.2110,1.1115,-13.9158,-6.8324,0.0000,-0.2249,0.0708,14.1454,-0.1846,-3.06e-7,
195,phi = 0,50.3970,1.1015,-15.7425,0.0000,-0.1073,-0.1946,0.0563,23.7651,-0.1846,-3.03e-7,
196,pphi = 0,50.8030,1.0084,-18.7060,7.1933,-0.3629,-0.0867,0.0000,35.5083,-0.1846,-2.08e-7,
197,collision,50.8230,1.0000,-18.8129,7.1663,-0.3802,-0.0788,-0.0042,35.6461,-0.1846,-5.27e-16,
198,ptheta = 0,51.0801,1.0741,-19.3336,3.3968,0.2093,0.0000,-0.0455,32.6804,-0.1846,-2.22e-7,
199,phi = 0,51.1921,1.0938,-19.2548,0.0000,0.1429,0.0284,-0.0600,29.1619,-0.1846,-2.11e-7,
200,pr = 0,51.4361,1.1113,-18.6291,-10.1896,0.0000,0.0780,-0.0835,18.0069,-0.1846,-3.06e-7,
201,beta = 0,51.7401,1.0828,-17.2220,-26.0319,-0.1931,0.1127,-0.0950,-0.0000,-0.1846,-3.30e-7,
202,collision,52.0161,1.0000,-15.5488,-40.5384,-0.4123,0.1106,-0.0827,-17.0694,-0.1846,4.07e-14,
203,pphi = 0,52.6750,1.1231,-13.3637,-56.8791,0.0063,0.0121,0.0000,-36.7414,-0.1846,-3.09e-8,
204,pr = 0,52.6870,1.1232,-13.3573,-56.8725,0.0000,0.0098,0.0018,-36.7446,-0.1846,-2.27e-7,
205,ptheta = 0,52.7430,1.1224,-13.3450,-56.6958,-0.0273,0.0000,0.0094,-36.5865,-0.1846,-8.08e-8,
206,collision,53.3530,1.0000,-14.8986,-39.3038,-0.4137,-0.0907,0.0857,-16.8279,-0.1846,4.83e-14,
207,beta = 0,53.6295,1.0822,-16.2657,-24.5658,0.1956,-0.0933,0.0977,-0.0000,-0.1846,-1.26e-7,
208,pr = 0,53.9335,1.1112,-17.4051,-8.2104,0.0000,-0.0593,0.0860,18.1027,-0.1846,-3.11e-7,
209,phi = 0,54.1175,1.1012,-17.7696,0.0000,-0.1080,-0.0243,0.0693,26.8733,-0.1846,-9.98e-8,
210,ptheta = 0,54.2215,1.0867,-17.8316,3.7935,-0.1695,0.0000,0.0569,30.7620,-0.1846,-3.13e-7,
211,collision,54.5395,1.0000,-17.0609,9.8957,-0.3809,0.0948,0.0063,35.6804,-0.1846,8.33e-16,
212,pphi = 0,54.5769,1.0127,-16.8644,9.9579,0.3548,0.1066,0.0000,35.4412,-0.1846,-2.34e-7,
