n,event type,t,r,theta,phi,pr,ptheta,pphi,beta,E,dE,
48,pphi = 0,14.0735,1.0018,13.8845,-3.7433,-0.3410,0.3455,0.0000,-24.6735,-0.1771,-6.42e-10,
49,collision,14.0785,1.0000,13.9883,-3.7422,-0.3450,0.3441,0.0007,-24.8304,-0.1771,-4.33e-15,
50,phi = 0,14.3852,1.0738,18.9292,0.0000,0.1461,0.2651,0.0412,-28.6592,-0.1771,-1.94e-9,
51,pr = 0,14.6436,1.0926,21.8695,8.3495,0.0000,0.2042,0.0706,-24.8679,-0.1771,-1.20e-9,
52,collision,15.1834,1.0000,25.9695,36.7924,-0.3727,0.1055,0.1058,-2.8643,-0.1771,-2.86e-15,
53,beta = 0,15.2390,1.0193,26.2880,40.1615,0.3240,0.0991,0.1062,0.0000,-0.1771,-2.23e-9,
54,pr = 0,15.7142,1.0915,28.4546,66.7875,0.0000,0.0952,0.0822,23.1718,-0.1771,-2.61e-9,
55,collision,16.2758,1.0000,32.0572,82.6772,-0.3368,0.1632,0.0100,33.2331,-0.1771,2.30e-15,
56,pphi = 0,16.3403,1.0202,32.6633,82.8583,0.2927,0.1729,0.0000,32.4222,-0.1771,-1.21e-9,
57,pr = 0,16.8561,1.0932,37.7525,73.9626,0.0000,0.2082,-0.0523,15.0448,-0.1771,-2.21e-9,
58,beta = 0,17.1567,1.0682,40.6974,63.9665,-0.1699,0.1888,-0.0610,0.0000,-0.1771,-2.45e-9,
59,collision,17.4227,1.0000,43.0567,55.0531,-0.3491,0.1392,-0.0532,-13.0447,-0.1771,4.61e-15,
60,ptheta = 0,17.9469,1.0969,44.9805,45.0188,0.0441,0.0000,-0.0113,-26.5112,-0.1771,-6.84e-10,
61,pr = 0,18.0377,1.0989,44.9282,44.6411,0.0000,-0.0243,-0.0032,-26.7947,-0.1771,-3.39e-10,
62,pphi = 0,18.0733,1.0986,44.8789,44.6084,-0.0173,-0.0338,0.0000,-26.7388,-0.1771,-1.86e-9,
63,collision,18.6527,1.0000,41.5563,52.8209,-0.3486,-0.1867,0.0468,-12.6402,-0.1771,5.08e-15,
64,beta = 0,18.9097,1.0665,38.6460,60.4377,0.1757,-0.2334,0.0541,0.0000,-0.1771,-2.27e-9,
65,pr = 0,19.2215,1.0933,34.9160,69.5454,0.0000,-0.2515,0.0447,15.3898,-0.1771,-1.74e-9,
66,pphi = 0,19.6765,1.0370,29.4749,76.1611,-0.2540,-0.2208,0.0000,30.9060,-0.1771,-1.82e-9,
67,collision,19.8017,1.0000,28.0104,75.4980,-0.3384,-0.2020,-0.0190,32.5935,-0.1771,9.66e-15,
68,pr = 0,20.3500,1.0900,23.4221,57.4253,0.0000,-0.1326,-0.0894,21.7817,-0.1771,-2.70e-9,
69,beta = 0,20.7914,1.0260,20.6220,31.2780,-0.3070,-0.1313,-0.1109,0.0000,-0.1771,-2.49e-9,
70,collision,20.8676,1.0000,20.0464,26.4299,-0.3748,-0.1389,-0.1101,-3.9560,-0.1771,6.97e-15,
71,phi = 0,21.3424,1.0908,15.8227,0.0000,0.0342,-0.2176,-0.0782,-23.8877,-0.1771,-5.10e-10,
72,pr = 0,21.4010,1.0918,15.1928,-2.5253,0.0000,-0.2296,-0.0721,-25.4503,-0.1771,-5.23e-11,
73,collision,21.9600,1.0000,6.8066,-14.6740,-0.3450,-0.3582,-0.0005,-24.8960,-0.1771,4.77e-15,
74,pphi = 0,21.9639,1.0013,6.7301,-14.6745,0.3421,-0.3591,0.0000,-24.7813,-0.1771,-2.92e-9,
75,theta = 0,22.2939,1.0766,0.0000,-11.3025,0.1237,-0.4097,0.0310,-11.3025,-0.1771,-1.03e-9,
76,pr = 0,22.5071,1.0897,-4.2992,-7.0605,0.0000,-0.4169,0.0368,-0.6086,-0.1771,-1.08e-9,
77,beta = 0,22.5189,1.0897,-4.5378,-6.8103,-0.0068,-0.4168,0.0368,-0.0000,-0.1771,-2.73e-9,
78,phi = 0,22.8999,1.0445,-12.1734,0.0000,-0.2355,-0.3802,0.0199,18.3296,-0.1771,-2.34e-9,
79,collision,23.0539,1.0000,-15.2428,1.0463,-0.3445,-0.3463,0.0028,24.0477,-0.1771,5.02e-15,
80,pphi = 0,23.0750,1.0070,-15.6510,1.0628,0.3287,-0.3408,0.0000,24.6880,-0.1771,-2.47e-9,
81,phi = 0,23.2426,1.0524,-18.5331,0.0000,0.2160,-0.2970,-0.0221,28.0485,-0.1771,-8.16e-10,
82,pr = 0,23.6218,1.0927,-23.2026,-9.8293,0.0000,-0.2041,-0.0667,25.4703,-0.1771,-1.72e-9,
83,collision,24.1652,1.0000,-27.2480,-37.5880,-0.3709,-0.0992,-0.1044,4.0997,-0.1771,3.30e-15,
84,beta = 0,24.2447,1.0266,-27.6634,-42.3502,0.3028,-0.0894,-0.1052,-0.0000,-0.1771,-1.02e-9,
85,pr = 0,24.6939,1.0909,-29.4659,-67.5049,0.0000,-0.0826,-0.0837,-22.2643,-0.1771,-2.51e-9,
86,collision,25.2525,1.0000,-32.6415,-84.0711,-0.3359,-0.1480,-0.0128,-33.6707,-0.1771,5.00e-15,
87,pphi = 0,25.3353,1.0254,-33.3536,-84.3696,0.2800,-0.1605,0.0000,-32.7991,-0.1771,-1.77e-9,
88,pr = 0,25.8345,1.0933,-37.9545,-75.9406,0.0000,-0.1972,0.0519,-16.6802,-0.1771,-2.09e-9,
89,beta = 0,26.1695,1.0621,-41.0744,-64.6213,-0.1908,-0.1772,0.0626,-0.0000,-0.1771,-2.53e-9,
90,collision,26.4013,1.0000,-43.0397,-56.5579,-0.3500,-0.1349,0.0566,11.5100,-0.1771,6.83e-15,
91,ptheta = 0,26.9204,1.0965,-44.8985,-45.1825,0.0451,0.0000,0.0170,26.2000,-0.1771,-1.50e-9,
92,pr = 0,27.0130,1.0986,-44.8442,-44.4964,0.0000,0.0247,0.0088,26.7884,-0.1771,-1.32e-9,
93,pphi = 0,27.1106,1.0962,-44.6686,-44.2501,-0.0475,0.0509,0.0000,26.7194,-0.1771,-1.87e-9,
94,collision,27.6278,1.0000,-41.4250,-50.9473,-0.3468,0.1904,-0.0434,14.2848,-0.1771,1.14e-14,
95,beta = 0,27.9219,1.0722,-37.9921,-59.3242,0.1527,0.2449,-0.0528,-0.0000,-0.1771,-2.24e-9,
96,pr = 0,28.1943,1.0927,-34.6063,-67.1921,0.0000,0.2621,-0.0456,-13.5510,-0.1771,-2.25e-9,
97,pphi = 0,28.6711,1.0302,-28.5943,-74.3778,-0.2701,0.2323,0.0000,-30.5382,-0.1771,-3.22e-10,
98,collision,28.7703,1.0000,-27.3517,-73.9588,-0.3382,0.2173,0.0151,-32.1058,-0.1771,6.44e-15,
99,pr = 0,29.3211,1.0902,-22.3397,-56.8796,0.0000,0.1448,0.0870,-22.9289,-0.1771,-1.50e-9,
100,beta = 0,29.7949,1.0162,-19.0918,-28.9102,-0.3339,0.1393,0.1117,-0.0000,-0.1771,-8.93e-10,
101,collision,29.8405,1.0000,-18.7282,-25.9898,-0.3755,0.1434,0.1114,2.3593,-0.1771,6.88e-15,
102,phi = 0,30.2894,1.0893,-14.7429,0.0000,0.0467,0.2109,0.0847,22.2385,-0.1771,-2.77e-9,
103,pr = 0,30.3678,1.0912,-13.9184,3.6308,0.0000,0.2262,0.0769,24.6126,-0.1771,-2.00e-9,
104,collision,30.9216,1.0000,-5.7523,17.3106,-0.3445,0.3523,0.0054,25.9463,-0.1771,8.66e-15,
105,pphi = 0,30.9605,1.0127,-4.9728,17.3696,0.3154,0.3612,0.0000,24.8334,-0.1771,-1.62e-9,
106,theta = 0,31.2075,1.0699,0.0000,15.3980,0.1530,0.4014,-0.0253,15.3980,-0.1771,-1.13e-10,
107,pr = 0,31.4703,1.0899,5.2756,10.5546,0.0000,0.4156,-0.0363,2.6356,-0.1771,-1.38e-9,
108,beta = 0,31.5219,1.0891,6.3100,9.4745,-0.0296,0.4151,-0.0366,0.0000,-0.1771,-1.45e-9,
109,collision,32.0173,1.0000,16.2586,1.8245,-0.3455,0.3500,-0.0070,-22.7304,-0.1771,1.14e-14,
110,pphi = 0,32.0734,1.0181,17.3371,1.7115,0.3041,0.3357,0.0000,-24.4971,-0.1771,-2.44e-9,
111,pr = 0,32.5906,1.0935,24.3906,11.1436,0.0000,0.2065,0.0617,-26.0206,-0.1771,-1.57e-9,
112,collision,33.1408,1.0000,28.4606,38.0216,-0.3700,0.0945,0.1022,-5.6038,-0.1771,1.55e-14,
113,beta = 0,33.2499,1.0352,28.9835,44.4645,0.2787,0.0801,0.1037,0.0000,-0.1771,-2.19e-9,
114,pr = 0,33.6695,1.0909,30.4495,67.8454,0.0000,0.0705,0.0851,21.0164,-0.1771,-2.38e-9,
115,collision,34.2265,1.0000,33.2081,85.1766,-0.3364,0.1323,0.0160,33.8456,-0.1771,1.86e-14,
116,pphi = 0,34.3309,1.0314,34.0187,85.6455,0.2669,0.1479,0.0000,32.9776,-0.1771,-7.85e-10,
117,pr = 0,34.8131,1.0940,38.1291,77.7616,0.0000,0.1852,-0.0509,18.2045,-0.1771,-2.31e-9,
118,beta = 0,35.1833,1.0558,41.3787,65.1512,-0.2123,0.1648,-0.0639,0.0000,-0.1771,-2.45e-9,
119,collision,35.3827,1.0000,42.9794,58.0136,-0.3519,0.1292,-0.0594,-9.9476,-0.1771,2.00e-14,
120,ptheta = 0,35.8938,1.0964,44.7437,45.5266,0.0486,0.0000,-0.0227,-25.5777,-0.1771,-1.58e-9,
121,pr = 0,35.9930,1.0988,44.6820,44.4856,0.0000,-0.0263,-0.0139,-26.5079,-0.1771,-1.43e-9,
122,pphi = 0,36.1478,1.0930,44.3356,43.8654,-0.0757,-0.0677,0.0000,-26.5074,-0.1771,-1.17e-9,
123,collision,36.6092,1.0000,41.1901,49.2803,-0.3463,-0.1941,0.0397,-15.5422,-0.1771,1.85e-14,
124,beta = 0,36.9348,1.0768,37.2819,58.1211,0.1346,-0.2552,0.0511,0.0000,-0.1771,-5.43e-10,
