n,event type,t,r,theta,phi,pr,ptheta,pphi,beta,E,dE,
25,collision,8.7984,1.0000,-51.2331,-102.6822,-0.2072,-0.5060,0.0880,-19.5422,-0.0435,-1.25e-10,
26,beta = 0,8.9979,1.0305,-56.2574,-93.0728,0.1316,-0.4919,0.0952,-0.0001,-0.0435,-2.70e-6,
27,pr = 0,9.3979,1.0551,-65.6494,-73.1529,0.0000,-0.3819,0.0691,40.3463,-0.0435,-6.64e-6,
28,pphi = 0,9.8879,1.0301,-72.9232,-62.9068,-0.0936,-0.1782,0.0000,68.4500,-0.0435,-5.37e-6,
29,collision,10.1379,1.0000,-74.6194,-66.1458,-0.1368,-0.0535,-0.0436,69.6555,-0.0435,-1.49e-10,
30,ptheta = 0,10.2675,1.0139,-74.7855,-69.4912,0.1152,0.0000,-0.0620,66.7512,-0.0435,-1.24e-6,
31,pr = 0,10.6875,1.0408,-72.6335,-92.3368,0.0000,0.1799,-0.1202,38.2716,-0.0435,-3.82e-6,
32,beta = 0,11.0475,1.0157,-68.1878,-119.5128,-0.1495,0.2719,-0.1405,-0.0001,-0.0435,-1.20e-5,
33,collision,11.1275,1.0000,-66.7631,-126.8274,-0.1954,0.2809,-0.1388,-10.7180,-0.0435,-1.70e-10,
34,pr = 0,11.6731,1.0452,-59.3466,-161.5818,0.0000,0.2014,-0.0763,-62.0823,-0.0435,-7.32e-6,
35,pphi = 0,12.0731,1.0307,-56.5124,-170.5651,-0.0662,0.0614,0.0000,-76.9717,-0.0435,-6.95e-6,
36,ptheta = 0,12.2331,1.0186,-56.2491,-169.0984,-0.0885,0.0000,0.0328,-76.0427,-0.0435,-2.64e-6,
37,collision,12.3931,1.0000,-56.6043,-163.7842,-0.1221,-0.0701,0.0712,-70.0027,-0.0435,-1.58e-10,
38,pr = 0,12.7826,1.0255,-59.3600,-140.3898,0.0000,-0.1797,0.1393,-40.8619,-0.0435,-5.14e-6,
39,collision,13.1026,1.0000,-62.8184,-111.5802,-0.1669,-0.1904,0.1651,-4.5263,-0.0435,-2.06e-10,
40,beta = 0,13.1449,1.0059,-63.2265,-107.9667,0.1443,-0.1851,0.1654,-0.0000,-0.0435,-9.01e-6,
41,pr = 0,13.4249,1.0249,-65.5504,-82.8849,0.0000,-0.1146,0.1514,30.3843,-0.0435,-3.09e-6,
42,ptheta = 0,13.7049,1.0082,-66.4715,-61.3030,-0.1134,0.0000,0.1149,54.1189,-0.0435,-2.26e-6,
43,collision,13.7549,1.0000,-66.4135,-57.1725,-0.1353,0.0312,0.1039,58.1130,-0.0435,-1.92e-10,
44,pphi = 0,14.3613,1.0398,-60.9739,-39.4939,0.0138,0.3043,0.0000,63.5006,-0.0435,-5.98e-6,
45,pr = 0,14.4413,1.0404,-59.6155,-39.8081,0.0000,0.3392,-0.0137,60.2635,-0.0435,-5.81e-6,
46,collision,15.0013,1.0000,-45.3932,-58.6458,-0.1677,0.5584,-0.0912,13.6284,-0.0435,-2.39e-10,
47,beta = 0,15.1375,1.0172,-41.4348,-65.2492,0.1125,0.5836,-0.0950,-0.0002,-0.0435,-1.26e-5,
48,pr = 0,15.4075,1.0322,-32.6256,-79.2178,0.0000,0.5872,-0.0768,-28.8435,-0.0435,-1.06e-5,
49,pphi = 0,15.7975,1.0080,-21.0945,-88.5968,-0.1189,0.4933,0.0000,-56.5852,-0.0435,-9.84e-6,
50,collision,15.8475,1.0000,-19.3776,-88.3018,-0.1358,0.4703,0.0167,-58.9502,-0.0435,-1.73e-10,
51,pr = 0,16.2927,1.0322,-10.0264,-69.3123,0.0000,0.3066,0.1323,-54.2340,-0.0435,-6.84e-6,
52,collision,16.6327,1.0000,-5.2438,-35.5934,-0.2105,0.2068,0.2035,-27.7222,-0.0435,-2.23e-10,
53,pr = 0,16.8864,1.0260,-2.6690,-5.1830,0.0000,0.1809,0.2233,-1.1788,-0.0435,-2.46e-5,
54,beta = 0,16.8964,1.0259,-2.5664,-3.8503,-0.0091,0.1810,0.2233,-0.0000,-0.0435,-2.42e-5,
55,phi = 0,16.9264,1.0252,-2.2692,0.0000,-0.0353,0.1817,0.2230,3.4043,-0.0435,-2.41e-5,
56,collision,17.1164,1.0000,-0.1007,25.3268,-0.2122,0.2073,0.2066,25.4778,-0.0435,-2.37e-10,
57,theta = 0,17.1359,1.0018,0.0000,26.3236,0.2050,0.2092,0.2054,26.3236,-0.0435,-9.17e-6,
58,pr = 0,17.4659,1.0315,4.4865,58.8528,0.0000,0.3042,0.1408,52.1197,-0.0435,-8.33e-6,
59,collision,17.8659,1.0000,13.2489,79.5991,-0.1391,0.4634,0.0304,59.6361,-0.0435,-1.82e-10,
60,pphi = 0,17.9938,1.0139,16.3364,80.5637,0.1085,0.5060,0.0000,55.8897,-0.0435,-1.02e-5,
61,pr = 0,18.3438,1.0342,27.0614,72.5248,0.0000,0.5981,-0.0726,31.1342,-0.0435,-1.22e-5,
62,beta = 0,18.6438,1.0162,36.9200,57.5105,-0.1246,0.6011,-0.0949,0.0001,-0.0435,-1.43e-5,
63,collision,18.7438,1.0000,40.5307,51.6827,-0.1749,0.5806,-0.0918,-11.9949,-0.0435,-2.61e-10,
64,pr = 0,19.3287,1.0422,55.5171,32.6572,-0.0000,0.3673,-0.0133,-58.9133,-0.0435,-5.28e-6,
65,pphi = 0,19.3987,1.0417,56.9007,32.3720,-0.0135,0.3348,0.0000,-62.0176,-0.0435,-5.39e-6,
66,collision,19.9887,1.0000,63.3457,50.8988,-0.1418,0.0612,0.1082,-57.3355,-0.0435,-2.21e-10,
67,ptheta = 0,20.1332,1.0156,63.5709,59.9393,0.0937,0.0000,0.1299,-48.8018,-0.0435,-7.61e-6,
68,pr = 0,20.3432,1.0260,63.0595,77.5682,0.0000,-0.0845,0.1568,-30.0242,-0.0435,-1.18e-5,
69,beta = 0,20.6132,1.0063,61.1927,103.4705,-0.1504,-0.1555,0.1711,0.0000,-0.0435,-1.15e-5,
70,collision,20.6432,1.0000,60.8421,107.2809,-0.1744,-0.1610,0.1707,4.5724,-0.0435,-2.47e-10,
71,pr = 0,20.9796,1.0267,57.8954,137.2158,0.0000,-0.1511,0.1444,40.7681,-0.0435,-1.17e-5,
72,collision,21.3496,1.0000,55.7301,161.7174,-0.1274,-0.0418,0.0752,69.7160,-0.0435,-2.06e-10,
73,ptheta = 0,21.4653,1.0124,55.6027,165.6191,0.1047,0.0000,0.0518,73.8756,-0.0435,-5.77e-6,
74,pphi = 0,21.7153,1.0333,56.2469,169.2423,0.0671,0.0957,0.0000,76.1910,-0.0435,-6.76e-6,
75,pr = 0,22.1153,1.0479,59.7372,160.4360,0.0000,0.2314,-0.0748,60.1046,-0.0435,-5.02e-6,
76,collision,22.6553,1.0000,68.1345,125.4859,-0.1996,0.3002,-0.1332,6.1018,-0.0435,-2.22e-10,
77,beta = 0,22.7187,1.0097,69.0106,121.5114,0.1741,0.2942,-0.1338,0.0001,-0.0435,-7.41e-6,
78,pr = 0,23.1687,1.0456,74.8254,89.8269,0.0000,0.1691,-0.1035,-46.5215,-0.0435,-3.82e-6,
79,ptheta = 0,23.5687,1.0260,76.6663,72.1394,-0.0896,-0.0000,-0.0481,-69.1649,-0.0435,-4.18e-6,
80,collision,23.7987,1.0000,75.9151,68.1775,-0.1284,-0.1136,-0.0092,-71.0899,-0.0435,-2.04e-10,
81,pphi = 0,23.8592,1.0068,75.5211,68.0354,0.1196,-0.1404,0.0000,-70.1717,-0.0435,-6.77e-6,
82,pr = 0,24.4392,1.0452,67.0978,82.6759,0.0000,-0.3877,0.0816,-34.2266,-0.0435,-7.44e-6,
83,beta = 0,24.7692,1.0281,59.5972,100.0327,-0.1109,-0.4712,0.0993,0.0001,-0.0435,-4.67e-6,
84,collision,24.9392,1.0000,54.5609,110.4843,-0.1884,-0.4848,0.0916,20.8333,-0.0435,-1.97e-10,
85,pphi = 0,25.5188,1.0547,41.0227,127.3039,0.0277,-0.3746,0.0000,62.7726,-0.0435,-1.99e-6,
86,pr = 0,25.6788,1.0569,38.2718,125.8912,0.0000,-0.3267,-0.0326,66.0913,-0.0435,-4.70e-6,
87,collision,26.3188,1.0000,30.6139,87.1578,-0.2265,-0.1326,-0.1738,40.0622,-0.0435,-1.84e-10,
88,pr = 0,26.6391,1.0363,28.6989,51.9957,0.0000,-0.1046,-0.2103,7.9883,-0.0435,-1.70e-5,
89,beta = 0,26.7091,1.0343,28.2912,43.3540,-0.0556,-0.1098,-0.2117,0.0000,-0.0435,-2.05e-5,
90,collision,26.9291,1.0000,26.6362,15.8817,-0.2413,-0.1569,-0.1969,-24.8326,-0.0435,-2.02e-10,
91,phi = 0,27.0854,1.0277,25.1381,0.0000,0.1357,-0.2063,-0.1738,-38.3421,-0.0435,-4.47e-6,
92,pr = 0,27.3754,1.0454,21.1971,-23.8831,0.0000,-0.3155,-0.1146,-56.0541,-0.0435,-1.13e-5,
93,pphi = 0,27.8354,1.0148,11.1205,-39.2476,-0.1271,-0.5061,0.0000,-55.9812,-0.0435,-1.13e-5,
94,collision,27.9254,1.0000,8.0260,-38.4467,-0.1583,-0.5492,0.0269,-50.5054,-0.0435,-2.33e-10,
95,theta = 0,28.1831,1.0282,0.0000,-30.8396,0.0696,-0.6289,0.0779,-30.8396,-0.0435,-1.61e-5,
96,pr = 0,28.3431,1.0339,-5.5854,-22.6730,0.0000,-0.6555,0.0967,-14.2882,-0.0435,-1.75e-5,
97,beta = 0,28.4731,1.0300,-10.1567,-15.2752,-0.0607,-0.6588,0.1016,-0.0000,-0.0435,-1.81e-5,
98,collision,28.7131,1.0000,-18.9970,-1.6841,-0.1806,-0.6168,0.0834,27.0797,-0.0435,-2.71e-10,
99,phi = 0,28.7560,1.0063,-20.2663,0.0000,0.1640,-0.6055,0.0778,30.7265,-0.0435,-1.24e-5,
100,pphi = 0,29.1460,1.0440,-31.5029,9.0695,0.0449,-0.4561,0.0000,57.6094,-0.0435,-9.01e-6,
101,pr = 0,29.3560,1.0488,-36.0897,6.1801,0.0000,-0.3660,-0.0472,62.2951,-0.0435,-5.46e-6,
102,phi = 0,29.5260,1.0457,-38.9429,0.0000,-0.0389,-0.2956,-0.0831,60.9449,-0.0435,-7.99e-6,
103,collision,29.9260,1.0000,-43.5374,-29.5161,-0.2063,-0.1189,-0.1642,39.4338,-0.0435,-2.02e-10,
104,pr = 0,30.2511,1.0334,-44.6449,-62.9950,0.0000,-0.0189,-0.1968,7.9319,-0.0435,-1.37e-5,
105,beta = 0,30.3211,1.0317,-44.6921,-71.0116,-0.0492,-0.0066,-0.1980,-0.0000,-0.0435,-1.07e-5,
106,ptheta = 0,30.3811,1.0279,-44.7013,-77.2768,-0.0881,0.0000,-0.1973,-6.2486,-0.0435,-1.66e-5,
107,collision,30.5511,1.0000,-44.6618,-97.3790,-0.2178,0.0027,-0.1842,-26.4219,-0.0435,-2.04e-10,
108,ptheta = 0,30.5972,1.0067,-44.6592,-100.7492,0.1955,0.0000,-0.1802,-29.7967,-0.0435,-8.64e-6,
109,pr = 0,31.0272,1.0426,-45.5776,-136.3282,0.0000,-0.0959,-0.1045,-63.7207,-0.0435,-9.82e-7,
110,pphi = 0,31.4972,1.0174,-50.1770,-150.8414,-0.0961,-0.2646,0.0000,-69.7163,-0.0435,-2.67e-7,
111,collision,31.6472,1.0000,-52.7722,-149.2799,-0.1269,-0.3210,0.0345,-63.1602,-0.0435,-2.01e-10,
112,pr = 0,32.0944,1.0301,-61.9140,-130.8470,0.0000,-0.4146,0.1026,-25.7969,-0.0435,-4.39e-6,
113,beta = 0,32.3244,1.0204,-67.0046,-116.6816,-0.0869,-0.4053,0.1124,-0.0002,-0.0435,-1.17e-5,
114,collision,32.4844,1.0000,-70.6842,-105.9893,-0.1555,-0.3691,0.1070,19.6642,-0.0435,-2.52e-10,
115,pr = 0,33.0885,1.0389,-79.1670,-80.1714,0.0000,-0.1355,0.0359,68.0529,-0.0435,-1.45e-6,
116,pphi = 0,33.3385,1.0348,-80.2252,-77.6661,-0.0330,-0.0283,0.0000,73.5474,-0.0435,-2.95e-6,
117,ptheta = 0,33.3985,1.0324,-80.2728,-77.8377,-0.0411,0.0000,-0.0095,73.5111,-0.0435,-5.37e-6,
118,collision,33.8185,1.0000,-77.8676,-88.4279,-0.1174,0.1995,-0.0754,56.1747,-0.0435,-2.38e-10,
119,pr = 0,34.2074,1.0231,-72.2248,-109.2572,0.0000,0.3382,-0.1157,20.3006,-0.0435,-3.57e-7,
120,beta = 0,34.3774,1.0173,-68.8288,-121.0680,-0.0690,0.3736,-0.1212,-0.0002,-0.0435,-9.79e-6,
121,collision,34.5274,1.0000,-65.2836,-132.3937,-0.1399,0.3837,-0.1156,-19.7424,-0.0435,-2.20e-10,
122,pr = 0,34.9758,1.0270,-56.7248,-154.9248,0.0000,0.3045,-0.0562,-60.8963,-0.0435,-7.70e-6,
123,pphi = 0,35.2558,1.0199,-52.8317,-159.4942,-0.0486,0.2082,0.0000,-73.2584,-0.0435,-7.10e-6,
124,collision,35.5258,1.0000,-50.4299,-154.4341,-0.0959,0.0973,0.0640,-72.8286,-0.0435,-1.77e-10,
125,ptheta = 0,35.8091,1.0168,-49.7192,-139.7527,0.0216,0.0000,0.1242,-59.4937,-0.0435,-1.34e-6,
126,pr = 0,35.8591,1.0174,-49.7463,-135.4979,0.0000,-0.0168,0.1356,-55.1878,-0.0435,-8.37e-6,
127,collision,36.1191,1.0000,-50.4589,-110.8402,-0.1398,-0.0685,0.1794,-29.1795,-0.0435,-2.56e-10,
128,pr = 0,36.3369,1.0147,-51.2834,-88.2949,0.0000,-0.0651,0.1943,-5.0583,-0.0435,-8.82e-6,
129,beta = 0,36.3869,1.0141,-51.4318,-83.5217,-0.0296,-0.0591,0.1947,-0.0000,-0.0435,-9.29e-6,
130,collision,36.5369,1.0000,-51.8178,-65.4881,-0.1431,-0.0208,0.1883,18.7776,-0.0435,-2.86e-10,
131,ptheta = 0,36.6118,1.0077,-51.8558,-58.7440,0.1008,0.0000,0.1825,25.5953,-0.0435,-1.37e-5,
132,pr = 0,36.7818,1.0163,-51.5331,-41.3857,0.0000,0.0680,0.1593,42.3310,-0.0435,-4.42e-7,
133,collision,37.0518,1.0000,-49.5868,-20.4651,-0.1131,0.1914,0.1085,59.5442,-0.0435,-2.03e-10,
134,pr = 0,37.5319,1.0241,-41.6807,-5.1930,0.0000,0.4132,0.0044,60.4854,-0.0435,-2.56e-6,
135,pphi = 0,37.5519,1.0241,-41.2258,-5.1679,-0.0042,0.4223,0.0000,59.7168,-0.0435,-2.35e-6,
136,collision,37.9519,1.0000,-29.4397,-15.3686,-0.1275,0.5949,-0.0813,29.8297,-0.0435,-3.15e-10,
137,beta = 0,38.2367,1.0178,-19.8915,-30.1462,0.0018,0.6536,-0.1024,-0.0000,-0.0435,-5.21e-6,
138,pr = 0,38.2367,1.0178,-19.7555,-30.3668,0.0000,0.6539,-0.1024,-0.4310,-0.0435,-1.90e-5,
139,collision,38.4967,1.0000,-9.8331,-45.1259,-0.1294,0.6345,-0.0792,-30.3398,-0.0435,-2.74e-10,
140,theta = 0,38.8036,1.0217,0.0000,-53.4969,0.0258,0.5425,-0.0149,-53.4969,-0.0435,-1.01e-5,
141,pphi = 0,38.8636,1.0228,1.7041,-53.7482,0.0105,0.5200,0.0000,-56.3046,-0.0435,-1.22e-5,
142,pr = 0,38.9036,1.0230,2.8821,-53.6168,0.0000,0.5033,0.0110,-57.9409,-0.0435,-8.40e-6,
143,collision,39.3136,1.0000,12.4122,-37.7719,-0.1242,0.3265,0.1236,-56.4639,-0.0435,-1.81e-10,
144,pr = 0,39.5543,1.0155,16.0779,-17.1034,-0.0000,0.2311,0.1802,-41.3816,-0.0435,-1.84e-5,
145,phi = 0,39.7043,1.0074,17.8365,0.0000,-0.1099,0.1812,0.2071,-26.9761,-0.0435,-8.40e-6,
146,collision,39.7543,1.0000,18.3879,6.7533,-0.1566,0.1662,0.2143,-21.0715,-0.0435,-3.01e-10,
147,pr = 0,39.9390,1.0140,19.8767,29.3116,0.0000,0.1361,0.2250,-0.8117,-0.0435,-1.71e-5,
148,beta = 0,39.9490,1.0139,19.9291,30.2044,-0.0061,0.1355,0.2250,0.0000,-0.0435,-2.59e-5,
149,collision,40.1090,1.0000,21.2096,51.9229,-0.1569,0.1356,0.2159,19.7325,-0.0435,-3.08e-10,
150,pr = 0,40.3247,1.0155,22.9608,75.9144,0.0000,0.1700,0.1836,40.9932,-0.0435,-1.10e-5,
151,collision,40.5547,1.0000,25.6301,97.0678,-0.1242,0.2408,0.1295,57.9483,-0.0435,-2.38e-10,
152,pr = 0,41.0066,1.0242,33.6728,115.3443,0.0000,0.4047,0.0139,63.2477,-0.0435,-1.33e-6,
153,pphi = 0,41.0666,1.0238,34.9814,115.5714,-0.0120,0.4243,0.0000,61.3070,-0.0435,-7.77e-6,
154,collision,41.4466,1.0000,45.4000,106.2181,-0.1213,0.5226,-0.0779,33.9318,-0.0435,-2.87e-10,
155,pr = 0,41.7644,1.0186,54.3771,90.0600,0.0000,0.5195,-0.1004,0.7755,-0.0435,-1.30e-5,
156,beta = 0,41.7744,1.0186,54.5709,89.6710,-0.0027,0.5185,-0.1004,0.0001,-0.0435,-3.46e-6,
157,collision,42.0644,1.0000,62.7090,73.3937,-0.1174,0.4333,-0.0817,-33.4163,-0.0435,-3.51e-10,
158,pr = 0,42.6072,1.0265,72.1034,60.0680,0.0000,0.1976,-0.0018,-69.1789,-0.0435,-5.13e-6,
159,pphi = 0,42.6172,1.0265,72.2228,60.0623,-0.0016,0.1924,0.0000,-69.4903,-0.0435,-6.00e-6,
160,ptheta = 0,43.0272,1.0132,74.4036,68.0578,-0.0668,0.0000,0.0676,-67.1724,-0.0435,-5.28e-6,
161,collision,43.1772,1.0000,74.0723,75.2621,-0.1041,-0.0747,0.0928,-59.0942,-0.0435,-3.09e-10,
162,pr = 0,43.4909,1.0169,71.6460,95.2584,0.0000,-0.2034,0.1328,-32.8222,-0.0435,-1.05e-5,
163,collision,43.7509,1.0000,67.8890,117.6742,-0.1283,-0.2756,0.1478,-1.1187,-0.0435,-3.26e-10,
164,beta = 0,43.7708,1.0011,67.7447,118.4467,0.1235,-0.2770,0.1478,0.0000,-0.0435,-4.67e-6,
165,pr = 0,44.0308,1.0166,63.6409,139.5710,0.0000,-0.2819,0.1343,30.6720,-0.0435,-1.17e-5,
166,collision,44.3108,1.0000,59.4546,158.7855,-0.1065,-0.2184,0.0907,59.0563,-0.0435,-3.04e-10,
167,pphi = 0,44.7697,1.0262,56.0314,170.4750,0.0238,-0.0533,-0.0000,77.8623,-0.0435,-6.70e-6,
168,ptheta = 0,44.8997,1.0282,55.8349,169.3671,0.0059,0.0000,-0.0285,77.1533,-0.0435,-2.17e-6,
169,pr = 0,44.9497,1.0283,55.8531,168.5873,-0.0000,0.0161,-0.0371,76.3368,-0.0435,-2.08e-6,
170,collision,45.4497,1.0000,58.8502,142.8566,-0.1366,0.1813,-0.1346,44.4077,-0.0435,-3.19e-10,
171,pr = 0,45.7313,1.0193,61.9024,119.0594,0.0000,0.2056,-0.1632,14.0348,-0.0435,-1.46e-5,
172,beta = 0,45.8513,1.0155,63.2103,107.9302,-0.0648,0.1944,-0.1661,0.0000,-0.0435,-9.64e-6,
173,collision,45.9813,1.0000,64.6933,94.1223,-0.1476,0.1622,-0.1616,-17.1702,-0.0435,-3.53e-10,
174,pr = 0,46.3097,1.0218,66.5962,67.3947,0.0000,0.0450,-0.1278,-48.3209,-0.0435,-6.44e-6,
175,ptheta = 0,46.4197,1.0199,66.7239,60.3436,-0.0349,0.0000,-0.1125,-55.6734,-0.0435,-2.88e-7,
176,collision,46.6797,1.0000,65.7386,46.3304,-0.1064,-0.1299,-0.0650,-67.3764,-0.0435,-2.83e-10,
177,pphi = 0,47.0432,1.0257,61.5629,39.8539,0.0431,-0.2973,0.0000,-64.4253,-0.0435,-1.52e-6,
178,pr = 0,47.2632,1.0308,57.3240,42.4202,0.0000,-0.3983,0.0393,-52.8419,-0.0435,-7.43e-6,
179,collision,47.7132,1.0000,44.9304,61.2913,-0.1523,-0.5649,0.0948,-10.1485,-0.0435,-3.49e-10,
180,beta = 0,47.8093,1.0118,42.0069,66.2495,0.1113,-0.5823,0.0969,0.0000,-0.0435,-2.61e-7,
181,pr = 0,48.0793,1.0262,33.3967,80.0947,0.0000,-0.5868,0.0793,28.4532,-0.0435,-1.41e-5,
182,pphi = 0,48.4693,1.0008,21.5836,89.9533,-0.1229,-0.4899,0.0000,57.1811,-0.0435,-1.27e-5,
183,collision,48.4693,1.0000,21.4099,89.9522,-0.1246,-0.4876,-0.0016,57.4502,-0.0435,-2.88e-10,
184,pr = 0,48.9118,1.0289,11.6156,74.8792,0.0000,-0.3237,-0.1178,57.3955,-0.0435,-1.06e-5,
185,collision,49.2518,1.0000,6.5752,43.5889,-0.1911,-0.2147,-0.1955,33.7152,-0.0435,-3.27e-10,
186,pr = 0,49.4930,1.0224,4.1000,15.6038,0.0000,-0.1782,-0.2229,9.4512,-0.0435,-6.22e-6,
187,beta = 0,49.5730,1.0194,3.2949,4.9438,-0.0733,-0.1763,-0.2250,0.0000,-0.0435,-2.36e-5,
188,phi = 0,49.6130,1.0159,2.9198,0.0000,-0.1079,-0.1774,-0.2245,-4.3806,-0.0435,-1.66e-5,
189,collision,49.7030,1.0000,1.8674,-13.1019,-0.2022,-0.1874,-0.2186,-15.9032,-0.0435,-3.50e-10,
190,theta = 0,49.8780,1.0217,0.0000,-32.8446,0.0663,-0.2208,-0.1967,-32.8446,-0.0435,-1.83e-5,
191,pr = 0,49.9780,1.0249,-1.2635,-43.4623,0.0000,-0.2484,-0.1782,-41.5671,-0.0435,-1.61e-5,
192,collision,50.2780,1.0000,-6.3996,-68.4432,-0.1502,-0.3598,-0.1022,-58.8338,-0.0435,-2.59e-10,
193,pphi = 0,50.6684,1.0353,-15.5591,-79.3703,0.0426,-0.5061,0.0000,-55.8855,-0.0435,-1.00e-5,
194,pr = 0,50.8284,1.0388,-20.1884,-77.5961,0.0000,-0.5560,0.0369,-46.9903,-0.0435,-9.84e-6,
195,collision,51.2884,1.0000,-35.4038,-57.8256,-0.1828,-0.6046,0.0948,-2.8576,-0.0435,-3.23e-10,
196,beta = 0,51.3251,1.0045,-36.2815,-56.4367,0.1703,-0.6015,0.0950,-0.0002,-0.0435,-1.60e-5,
197,pr = 0,51.7851,1.0395,-49.8098,-35.5379,0.0000,-0.4661,0.0522,44.8922,-0.0435,-8.06e-6,
198,pphi = 0,52.0851,1.0294,-56.2265,-30.9543,-0.0643,-0.3378,0.0000,62.0554,-0.0435,-5.43e-6,
199,collision,52.3851,1.0000,-60.8198,-36.3738,-0.1251,-0.1890,-0.0609,66.2864,-0.0435,-3.02e-10,
200,ptheta = 0,52.8011,1.0290,-62.9216,-59.4840,0.0057,0.0000,-0.1322,47.8001,-0.0435,-5.22e-7,
201,pr = 0,52.8211,1.0290,-62.9188,-60.6184,0.0000,0.0062,-0.1343,46.6596,-0.0435,-9.48e-6,
202,collision,53.1611,1.0000,-61.4816,-92.0877,-0.1772,0.1303,-0.1696,12.0136,-0.0435,-3.77e-10,
203,beta = 0,53.2807,1.0151,-60.6495,-102.2915,0.1140,0.1517,-0.1719,-0.0000,-0.0435,-1.47e-5,
204,pr = 0,53.4807,1.0264,-58.8717,-121.8270,0.0000,0.1639,-0.1635,-23.3327,-0.0435,-1.37e-5,
205,collision,53.8007,1.0000,-56.2576,-149.0345,-0.1509,0.1073,-0.1173,-55.9613,-0.0435,-3.48e-10,
206,ptheta = 0,54.1273,1.0329,-55.2857,-164.5367,0.0687,0.0000,-0.0543,-73.4329,-0.0435,-6.66e-6,
207,pphi = 0,54.3973,1.0459,-55.9963,-168.7106,0.0297,-0.0997,0.0000,-76.1693,-0.0435,-6.54e-6,
208,pr = 0,54.6073,1.0491,-57.5040,-166.2534,0.0000,-0.1741,0.0404,-70.6189,-0.0435,-6.66e-6,
209,collision,55.2273,1.0000,-66.2618,-133.3416,-0.1905,-0.3083,0.1293,-18.4123,-0.0435,-3.40e-10,
210,beta = 0,55.3927,1.0241,-68.9476,-121.3577,0.1165,-0.2980,0.1342,-0.0001,-0.0435,-8.26e-6,
211,pr = 0,55.6827,1.0401,-73.0511,-100.2113,0.0000,-0.2317,0.1210,31.4770,-0.0435,-6.16e-6,
